input_artist_name,matched_name,mbid,musicbrainz_country,type,disambiguation,score,match_status,notes,source_name,source_wikidata_id,source_origin_country,source_birth_place,source_current_residence,source_wiki_url
Zulya Kamalova,Zulya,8df84e50-d6fc-42b8-afbe-7c502bf79dd8,AU,Person,,100,review_needed,Candidate needs manual review.,Zulya Kamalova,Q2944740,Russia,Sarapul,Australia,https://en.wikipedia.org/wiki/Zulya_Kamalova
Yevgeny Gabrilovich,Yevgeny Sudbin,cfb38fd7-1d90-44ea-ae93-d434a3b72208,GB,Person,Russian-British pianist,100,review_needed,Candidate is disambiguated and should be checked manually.,Yevgeny Gabrilovich,Q3655818,Russia,Voronezh,Russia,https://en.wikipedia.org/wiki/Yevgeny_Gabrilovich
Rita Streich,Rita Streich,43f61d4d-bffc-4997-a319-580abe388a9b,DE,Person,soprano,100,auto_accept,Very high score and near-exact name match.,Rita Streich,Q77741,Russia,Barnaul,Ascona,https://en.wikipedia.org/wiki/Rita_Streich
Praskovia Kovalyova-Zhemchugova,,,,,,,no_match,No usable result returned by MusicBrainz.,Praskovia Kovalyova-Zhemchugova,Q2011786,Russia,Q13640339,Russian Empire,https://en.wikipedia.org/wiki/Praskovia_Kovalyova-Zhemchugova
Alexander Malofeev,Alexander Malofeev,db406134-8a59-4096-a694-4677ec52a130,RU,Person,Russian Pianist,100,auto_accept,Very high score and near-exact name match.,Alexander Malofeev,Q18245585,Russia,Moscow,Russia,https://en.wikipedia.org/wiki/Alexander_Malofeev
Dmitry Shishkin,Dmitry Shishkin,ad7850af-3840-4d89-9727-25dd7c2770cf,RU,Person,pianist,100,auto_accept,Very high score and near-exact name match.,Dmitry Shishkin,Q24053154,Russia,Chelyabinsk,Russia,https://en.wikipedia.org/wiki/Dmitry_Shishkin
Tamara Sinyavskaya,Тамара Синявская,abaebe07-726b-409a-8536-3d84c5998b4f,RU,Person,mezzo-soprano,100,review_needed,Candidate is disambiguated and should be checked manually.,Tamara Sinyavskaya,Q3742244,Russia,Moscow,Russia,https://en.wikipedia.org/wiki/Tamara_Sinyavskaya
Irina Bogacheva,Ирина Богачёва,ff778b59-3e97-4450-8b9e-1400e6be31a7,RU,Person,mezzo-soprano,100,review_needed,Candidate is disambiguated and should be checked manually.,Irina Bogacheva,Q4089164,Russia,Saint Petersburg,Russia,https://en.wikipedia.org/wiki/Irina_Bogacheva_(mezzo-soprano)
Haji Khanmammadov,Haji,71b8a01e-7fa8-4ab0-b737-b9161e36c041,,,,100,review_needed,Candidate needs manual review.,Haji Khanmammadov,Q5639906,Russia,Derbent,Azerbaijan,https://en.wikipedia.org/wiki/Haji_Khanmammadov
Igor Sklyar,Игорь Скляр,f4bc09e5-e432-4df3-a20f-444703e8b859,RU,Person,,100,review_needed,Candidate needs manual review.,Igor Sklyar,Q2003255,Russia,Kursk,Russia,https://en.wikipedia.org/wiki/Igor_Sklyar
Arty,ARTY,52491cf4-55df-4d0f-b4d4-c3652f7e122d,RU,Person,"Russian producer and DJ, Artem Stoliarov",100,auto_accept,Very high score and near-exact name match.,Arty,Q715890,Russia,Engels,Russia,https://en.wikipedia.org/wiki/Arty_(musician)
Yuri Ahronovitch,Юрий Аранович,c37dc7b6-3293-4beb-9870-e99d62ad1bc7,IL,Person,conductor,100,review_needed,Candidate is disambiguated and should be checked manually.,Yuri Ahronovitch,Q182586,Russia,Saint Petersburg,Israel,https://en.wikipedia.org/wiki/Yuri_Ahronovitch
Viktor Tretiakov,Виктор Викторович Третьяков,b70c091c-175a-4c02-be5d-2aae1765c0ea,RU,Person,violinist,100,review_needed,Candidate is disambiguated and should be checked manually.,Viktor Tretiakov,Q82384,Russia,Krasnoyarsk,Russia,https://en.wikipedia.org/wiki/Viktor_Tretiakov
Dmitri Kitayenko,Дмитрий Китаенко,6d24079f-217b-4015-90e9-f57b7ba5dd13,RU,Person,"Soviet, Russian conductor b. 1940",100,review_needed,Candidate is disambiguated and should be checked manually.,Dmitri Kitayenko,Q664572,Russia,Saint Petersburg,Russia,https://en.wikipedia.org/wiki/Dmitri_Kitayenko
Dilbar Abdurahmonova,Дильба́р Гулямовна Абдурахма́нова,669fcbfe-6b2c-42c0-a675-35f0d58de30a,SU,Person,,100,review_needed,Candidate needs manual review.,Dilbar Abdurahmonova,Q4054642,Russia,Moscow,Soviet Union,https://en.wikipedia.org/wiki/Dilbar_Abdurahmonova
Netta Barzilai,Netta,6806600b-f824-4874-b574-f7b9a3e6cd3d,IL,Person,,100,review_needed,Candidate needs manual review.,Netta Barzilai,Q48654131,Israel,Hod HaSharon,Tel Aviv,https://en.wikipedia.org/wiki/Netta_Barzilai
Dana International,Dana International,f92469be-f755-433a-be19-8bd0c9040e5a,IL,Person,,100,auto_accept,Very high score and near-exact name match.,Dana International,Q201204,Israel,Tel Aviv,Israel,https://en.wikipedia.org/wiki/Dana_International
Ofra Haza,עפרה חזה,7591796a-a545-4b51-ba52-bf2539b90d99,IL,Person,,100,review_needed,Candidate needs manual review.,Ofra Haza,Q111087,Israel,Hatikva Quarter,Israel,https://en.wikipedia.org/wiki/Ofra_Haza
Gene Simmons,Gene Simmons,96a1182f-e8e6-4df6-a811-82cb67d4565c,US,Person,KISS bassist and vocalist,100,auto_accept,Very high score and near-exact name match.,Gene Simmons,Q207197,Israel,Tirat Carmel,New York City,https://en.wikipedia.org/wiki/Gene_Simmons
Itzhak Perlman,Itzhak Perlman,5e85f4f1-a491-4e63-9103-6065c5e997d4,US,Person,violinist and conductor,100,auto_accept,Very high score and near-exact name match.,Itzhak Perlman,Q215905,Israel,Jaffa,New York City,https://en.wikipedia.org/wiki/Itzhak_Perlman
Harel Skaat,הראל סקעת,d668af2b-e35c-48d6-ab38-cba591747e6e,IL,Person,,100,review_needed,Candidate needs manual review.,Harel Skaat,Q276295,Israel,Kfar Saba,Israel,https://en.wikipedia.org/wiki/Harel_Skaat
